length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
0.098,0.0,0.138,0.0,0.138,0.0,0.571,0.0,0.5,0.0,1.0,0.0,0.875,0.0,0.833,0.0,1.0,0.0,0,3,german,"FTT_2006-03-28pair2_refexps.p(2436, 2542)"
-0.079,0.0,-0.429,0.0,-0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.0,1.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(5496, 5553)"
-0.205,0.024,-0.27,0.008,-0.171,0.001,0.375,0.172,0.25,0.063,0.5,0.25,0.688,0.168,0.556,0.173,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(1356, 1437)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,german,"FTT_2006-03-27Pair1_refexps.p(1750, 1760)"
0.525,0.012,0.293,0.075,0.1,0.0,0.25,0.0,nan,nan,0.25,0.0,0.622,0.001,0.667,0.0,0.5,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(2156, 2341)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,german,"FTT_2006-06-22pair1_refexps.p(1417, 1479)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-03-27Pair1_refexps.p(731, 759)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(192, 236)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-06-22pair1_refexps.p(1388, 1416)"
0.142,0.001,0.084,0.0,0.095,0.0,0.25,0.0,nan,nan,0.25,0.0,0.708,0.002,0.0,0.0,0.833,0.028,-1,2,german,"FTT_2006-03-28pair2_refexps.p(1555, 1663)"
0.061,0.003,0.104,0.005,0.18,0.0,0.179,0.052,0.143,0.059,0.167,0.0,0.733,0.029,0.714,0.033,1.0,0.0,-1,4,german,"FTT_2006-03-27Pair1_refexps.p(946, 1116)"
0.194,0.108,0.196,0.113,0.037,0.014,0.576,0.007,0.506,0.016,0.65,0.013,0.699,0.125,0.348,0.184,1.0,0.0,-1,4,german,"FTT_2006-06-22pair2_refexps.p(1622, 2582)"
-0.054,0.069,-0.048,0.071,-0.158,0.073,0.517,0.118,0.542,0.13,0.667,0.111,0.68,0.15,0.597,0.153,1.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(4732, 4881)"
0.106,0.003,0.131,0.003,0.164,0.0,0.867,0.036,1.0,0.0,0.0,0.0,0.821,0.009,0.861,0.004,0.0,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(2355, 2504)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-06-22pair1_refexps.p(3277, 3285)"
0.09,0.003,-0.064,0.074,-0.448,0.0,0.889,0.025,1.0,0.0,0.0,0.0,0.794,0.003,0.833,0.0,0.0,0.0,0,3,german,"FTT_2006-06-22pair1_refexps.p(2004, 2097)"
0.18,0.04,0.171,0.043,-0.016,0.0,0.543,0.008,0.51,0.015,1.0,0.0,0.481,0.232,0.5,0.25,0.5,0.0,0,2,german,"FTT_2006-03-27Pair1_refexps.p(3166, 3426)"
0.11,0.0,0.115,0.0,0.123,0.0,0.486,0.001,0.5,0.0,0.0,0.0,0.88,0.0,0.889,0.0,0.0,0.0,-1,4,german,"FTT_2006-03-27Pair1_refexps.p(191, 410)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0,3,german,"FTT_2006-06-22pair1_refexps.p(2351, 2380)"
